rank,model,family,organization,num_pure_hallucination_benchmarks_with_scores,pure_benchmarks_with_scores,num_pure_benchmarks_mentioned_only,notes,evidence_files
22,Claude-3.5,Claude,Anthropic,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
23,Claude-3.5-Haiku-Sonnet,Claude,Anthropic,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
24,Claude-4,Claude,Anthropic,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
25,Claude-4.1,Claude,Anthropic,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
26,Claude-Opus-4.7,Claude,Anthropic,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
27,Claude-Mythos-Preview,Claude,Anthropic,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
28,DeepSeek-VL,DeepSeek-VL,DeepSeek,0,—,1,官方未披露任何 pure hallucination benchmark 实验结果,N/A
29,DeepSeek-VL2,DeepSeek-VL,DeepSeek,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
30,DeepSeek-OCR,DeepSeek-VL,DeepSeek,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
31,Emu,Emu,Beijing Academy of AI,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
32,Emu2,Emu,Beijing Academy of AI,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
33,GPT-4,GPT,OpenAI,0,—,1,官方未披露任何 pure hallucination benchmark 实验结果,N/A
34,GPT-4V,GPT,OpenAI,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
35,GPT-4o,GPT,OpenAI,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
36,GPT-4.1,GPT,OpenAI,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
37,GPT-5,GPT,OpenAI,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
38,GPT-5.2,GPT,OpenAI,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
39,GPT-5.5,GPT,OpenAI,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
40,GPT-5.5-Instant,GPT,OpenAI,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
41,Gemini-2.0-Flash,Gemini,Google DeepMind,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
42,Gemini-2.5-Flash,Gemini,Google DeepMind,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
43,Gemini-2.5-Pro,Gemini,Google DeepMind,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
44,Gemini-3-Pro,Gemini,Google DeepMind,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
45,Gemini-3.1-Pro,Gemini,Google DeepMind,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
46,Gemini-3.1-Flash-Lite,Gemini,Google DeepMind,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
47,Gemini-3.1-Flash-Audio,Gemini,Google DeepMind,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
48,Gemini-3.1-Flash-Image,Gemini,Google DeepMind,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
49,Gemini-3.5-Flash,Gemini,Google DeepMind,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
50,Gemini-Omni-Flash,Gemini,Google DeepMind,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
51,Gemma 3,Gemma,Google DeepMind,0,—,3,官方未披露任何 pure hallucination benchmark 实验结果,N/A
52,Gemma-3n,Gemma,Google DeepMind,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
53,HunyuanOCR,Hunyuan,Tencent,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
54,Idefics2,Idefics,HuggingFace,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
55,Kimi-VL,Kimi-VL,Moonshot AI,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
56,Kosmos-1,Kosmos,Microsoft,0,—,2,官方未披露任何 pure hallucination benchmark 实验结果,N/A
57,Kosmos-2,Kosmos,Microsoft,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
58,LLaVA,LLaVA,Haotian Liu et al.,0,—,1,官方未披露任何 pure hallucination benchmark 实验结果,N/A
59,LLaVA-OneVision-2,LLaVA,ByteDance/Haotian Liu,0,—,1,官方未披露任何 pure hallucination benchmark 实验结果,N/A
60,Llama-3.2-Vision,Llama,Meta,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
61,Llama-4,Llama,Meta,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
62,MinerU2.5,MinerU,Shanghai AI Lab,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
63,MiniCPM,MiniCPM,Tsinghua/ModelBest,0,—,1,官方未披露任何 pure hallucination benchmark 实验结果,N/A
64,MiniCPM-Llama3-V,MiniCPM,Tsinghua/ModelBest,0,—,1,官方未披露任何 pure hallucination benchmark 实验结果,N/A
65,Molmo,Molmo,Allen AI,0,—,1,官方未披露任何 pure hallucination benchmark 实验结果,N/A
66,NVLM 1.0,NVLM,NVIDIA,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
67,Ovis2.5,Ovis,Alibaba/DAMO,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
68,Ovis-U1,Ovis,Alibaba/DAMO,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
69,PaLI,PaLI,Google,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
70,PaLI-X,PaLI,Google,0,—,1,官方未披露任何 pure hallucination benchmark 实验结果,N/A
71,PaLM-E,PaLM-E,Google,0,—,1,官方未披露任何 pure hallucination benchmark 实验结果,N/A
72,PaddleOCR-VL,PaddleOCR,Baidu/PaddlePaddle,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
73,PaliGemma 2,PaliGemma,Google,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
74,Phi-4-multimodal,Phi,Microsoft,0,—,1,官方未披露任何 pure hallucination benchmark 实验结果,N/A
75,Pixtral-12B,Pixtral,Mistral,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
76,Qwen2.5-VL,Qwen-VL,Alibaba,0,—,1,官方未披露任何 pure hallucination benchmark 实验结果,N/A
77,Qwen2.5-Omni,Qwen-VL,Alibaba,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
78,Qwen3-Omni,Qwen-VL,Alibaba,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
79,Qwen3.5-Omni,Qwen-VL,Alibaba,0,—,3,官方未披露任何 pure hallucination benchmark 实验结果,N/A
80,Qwen3.6,Qwen-VL,Alibaba,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
81,Qwen3.7,Qwen-VL,Alibaba,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
82,SEED-LLaMA,SEED,Beijing Academy of AI,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
83,VILA-1.5,VILA,NVIDIA,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
