model,benchmark,original_value,judgment,pure_hallucination_benchmark,proxy_subtype,extracted_score,source_file,location_context,evidence_snippet
LLaVA,CHAIR,2,mentioned_only,yes,N/A,4,model_best/LLaVA_1_technical_report.pdf,references_only,"TURE: A material is a type of matter. Wood, glass, metal, and plastic are common materials. Some objects are made of just one material. Most nails are made of metal. Other objects are made of more than one material. This hammer is made of metal and w"
LLaVA-OneVision,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/LLaVA-OneVision_1_technical_report.pdf,not_found,
LLaVA-OneVision-2,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/LLaVA-OneVision-2_2_technical_report.pdf,not_found,
Llama-3.2-Vision,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/official_model_cards_html/Llama-3.2-Vision_model_card.html,not_found,
Llama-4,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/official_model_cards_html/Llama-4_model_card.html,not_found,
Qwen2.5-Omni,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/model_reports/Qwen2.5-Omni_2.5_technical_report.pdf,not_found,
Qwen3.5-Omni,HallusionBench,2,mentioned_only,yes,N/A,16,model_best/Qwen3.5-Omni_3.5_technical_report.pdf,references_only,"ons of tokens of context. Technical report, Google, 2024. URL https://storage.googleapis.com/deepmind-media/gemini/gemi ni_v1_5_report.pdf. Tianrui Guan, Fuxiao Liu, Xiyang Wu, Ruiqi Xian, Zongxia Li, Xiaoyu Liu, Xijun Wang, Lichang Chen, Furong Huan"
DeepSeek-VL,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/DeepSeek-VL_1_technical_report.pdf,not_found,
DeepSeek-VL2,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/DeepSeek-VL2_2_technical_report.pdf,not_found,
NVLM 1.0,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/model_reports/NVLM-1.0_1.0_technical_report.pdf,not_found,
Phi-4-multimodal,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/model_reports/Phi-4-multimodal_4_technical_report.pdf,not_found,
Kosmos-1,AMBER,2,mentioned_only,yes,N/A,17,model_best/Kosmos-1_1_technical_report.pdf,references_only,"nhan Liu, Myle Ott, Naman Goyal, Jingfei Du, Mandar Joshi, Danqi Chen, Omer Levy, Mike Lewis, Luke Zettlemoyer, and Veselin Stoyanov. RoBERTa: A robustly optimized bert pretraining approach. arXiv preprint arXiv:1907.11692, 2019. [MRL+ 17] Nasrin Mos"
InternVL,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/InternVL_1_technical_report.pdf,not_found,
InternVL-1.5,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/InternVL-1.5_1.5_technical_report.pdf,not_found,
MiniCPM-Llama3-V,CHAIR,2,mentioned_only,yes,N/A,84,model_best/MiniCPM-Llama3-V_2.5_technical_report.pdf,references_only,"derstanding across millions of tokens of context. arXiv preprint arXiv:2403.05530, 2024. [84] Mengye Ren, Ryan Kiros, and Richard Zemel. Exploring models and data for image question answering. NeurIPS, 28, 2015. [85] Anna Rohrbach, Lisa Anne Hendrick"
MiniCPM-Llama3-V,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/MiniCPM-Llama3-V_2.5_technical_report.pdf,not_found,
MiniCPM-V,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/MiniCPM-V_4.5_technical_report.pdf,not_found,
MiniCPM-V,VQAv2,2,false_positive,no,ability_proxy,,model_best/MiniCPM-V_4.5_technical_report.pdf,not_found,
MiniCPM-V,ScienceQA,2,false_positive,no,ability_proxy,,model_best/MiniCPM-V_4.5_technical_report.pdf,not_found,
SEED-LLaMA,COCO-Cap,2,mentioned_only,no,factuality_proxy,31,model_best/SEED-LLaMA_1_technical_report.pdf,references_only,"toph, Köpf Andreas, Vencu Richard, Coombes Theo, and Beaumont Romain. Laion coco: 600m synthetic captions from laion2b-en. [EB/OL], 2022. https://laion.ai/blog/laion-coco/. [31] Xinlei Chen, Hao Fang, Tsung-Yi Lin, Ramakrishna Vedantam, Saurabh Gupta"
Emu2,COCO-Cap,2,mentioned_only,no,factuality_proxy,8,model_best/Emu2_2_technical_report.pdf,references_only,"Nataniel Rui, Xuhui Jia, Ming-Wei Chang, and William W Cohen. Subject-driven text-to-image generation via apprenticeship learning. arXiv preprint arXiv:2304.00186, 2023. 8 [18] Xinlei Chen, Hao Fang, Tsung-Yi Lin, Ramakrishna Vedantam, Saurabh Gupta,"
Idefics2,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/Idefics2_2_technical_report.pdf,not_found,
Idefics2,ChartQA,2,mentioned_only,no,chart_document_proxy,15,model_best/Idefics2_2_technical_report.pdf,references_only,"ision and Pattern Recognition (CVPR). 15 Marti, U.-V. and H. Bunke (2002, 11). The iam-database: An english sentence database for offline handwriting recognition. International Journal on Document Analysis and Recognition 5, 39–46. Masry, A., D. Long"
Idefics2,InfoVQA,2,mentioned_only,no,chart_document_proxy,10,model_best/Idefics2_2_technical_report.pdf,references_only,"10,189 999,000 39,463 27,207,774 337,829 5.57% 3.46% 9 https://huggingface.co/datasets/wendlerc/RenderedText 21 TextCaps (Sidorov et al., 2020) TextVQA (Singh et al., 2019) ST-VQA (Biten et al., 2019) OCR-VQA (Mishra et al., 2019) VisualMRC (Tanaka e"
Idefics2,NoCaps,2,false_positive,no,factuality_proxy,,model_best/Idefics2_2_technical_report.pdf,references_only,"nd C. Kanan (2019). Tallyqa: Answering complex counting questions. In AAAI. Agrawal, H., K. Desai, Y. Wang, X. Chen, R. Jain, M. Johnson, D. Batra, D. Parikh, S. Lee, and P. Anderson (2019, October). nocaps: novel object captioning at scale. In 2019 "
Idefics2,ScienceQA,2,mentioned_only,no,ability_proxy,9,model_best/Idefics2_2_technical_report.pdf,references_only,"al., 2019) Inter-GPs (Lu et al., 2021) 9,303 70,000 70,000 27,315 42,000 1,451 9,339 788,650 699,989 29,859 42,000 2,101 2,489,459 3,184,656 2,396,781 112,969 105,081 8,404 3.83% 3.26% 1.23% 1.16% 0.67% 0.17% Textbook/academic questions AI2D (Kembhav"
Idefics2,AI2D,2,mentioned_only,no,chart_document_proxy,9,model_best/Idefics2_2_technical_report.pdf,references_only,"on et al., 2017) IconQA (Lu et al., 2021) RAVEN (Zhang et al., 2019) Inter-GPs (Lu et al., 2021) 9,303 70,000 70,000 27,315 42,000 1,451 9,339 788,650 699,989 29,859 42,000 2,101 2,489,459 3,184,656 2,396,781 112,969 105,081 8,404 3.83% 3.26% 1.23% 1"
Molmo,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/Molmo_1_technical_report.pdf,not_found,
PaLI-X,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/PaLI-X_X_technical_report.pdf,not_found,
Pixtral-12B,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/Pixtral-12B_12B_technical_report.pdf,not_found,
HunyuanOCR,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/ocr_document_models/HunyuanOCR_1_technical_report.pdf,not_found,
HunyuanOCR,DocVQA,2,mentioned_only,no,chart_document_proxy,10,model_best/ocr_document_models/HunyuanOCR_1_technical_report.pdf,references_only,"sion and reasoning. arXiv preprint arXiv:2305.14761 (2023) 10 [32] Masry, A., Long, D.X., Tan, J.Q., Joty, S., Hoque, E.: Chartqa: A benchmark for question answering about charts with visual and logical reasoning. arXiv preprint arXiv:2203.10244 (202"
DeepSeek-OCR,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/ocr_document_models/DeepSeek-OCR_1_model_card.html,not_found,
MinerU2.5,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/ocr_document_models/MinerU2.5_2.5_model_card.html,not_found,
